"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料年度","政府機構(%)","政府機構增減","僑外投資(%)","僑外投資增減","本國金融機構(%)","本國金融機構增減","本國法人(%)","本國法人增減","本國個人(%)","本國個人增減","庫藏股票(%)","庫藏股票增減"
"407",="2375","凱美","92.4","+0.4","+0.43","2021","0","0","6.47","+1.58","2.78","+2.59","13.8","+0.69","76.9","-4.86","0.06","0"
"408",="2373","震旦行","89.4","-0.1","-0.11","2021","0","0","1.81","-0.07","2.77","-0.28","76.6","+0.32","18.8","+0.04","0","0"
"409",="2104","國際中橡","26.6","+0.25","+0.95","2021","0","0","14","+1.36","2.77","-0.54","33.5","-1.39","49.8","+0.56","0","0"
"410",="4706","大恭","18.9","0","0","2021","0","0","30.7","+0.05","2.72","-0.39","6","-0.03","60.6","+0.37","0","0"
"411",="6024","群益期","39","-0.1","-0.26","2021","0","0","1.7","-0.65","2.72","+0.1","62","-1.52","33.6","+2.08","0","0"
"412",="2481","強茂","111.5","+5.5","+5.19","2021","0","-0.3","18.8","+7.22","2.72","-2.06","20.1","+1.45","58.2","-6.52","0.21","+0.21"
"413",="4999","鑫禾","41.6","-0.25","-0.6","2021","0","0","5.46","-3.7","2.71","-8.12","10.2","-1.9","81.6","+13.7","0","0"
"414",="2609","陽明","107.5","-2","-1.83","2021","35.4","-12.2","7.91","+2.59","2.7","-2.97","7.68","+2.02","46.3","+10.6","0","0"
"415",="6224","聚鼎","118","-2.5","-2.07","2021","0","0","11.2","-5.82","2.7","+2.26","21.5","-1.87","64.7","+5.43","0","0"
"416",="2849","安泰銀","16.75","0","0","2021","0","0","59","+0.11","2.68","+0.02","36.7","+0.01","1.52","-0.14","0","0"
"417",="6136","富爾特","21.45","+1.95","+10","2021","0","0","4.21","-0.25","2.66","+0.01","3.52","+0.32","89.6","-0.08","0","0"
"418",="4529","淳紳","13.05","+1.15","+9.66","2021","0","0","16.6","-0.4","2.65","+0.88","11.7","+1.09","69.1","-1.57","0","0"
"419",="2063","世鎧","36.8","-0.1","-0.27","2021","0","0","0.73","+0.64","2.58","-0.05","32.4","+0.35","64.3","-0.94","0","0"
"420",="6541","泰福-KY","50.9","+1.1","+2.21","2021","0","0","38.2","-0.98","2.57","-1.04","34.5","-1.8","24.7","+3.82","0","0"
"421",="6781","AES-KY","1460","-25","-1.68","2021","0","","72.3","","2.57","","2.88","","22.3","","0",""
"422",="8050","廣積","39.5","-0.25","-0.63","2021","0","0","3.08","-0.12","2.57","-0.07","35.7","+0.25","55.7","-0.05","2.95","0"
"423",="6104","創惟","188.5","-1.5","-0.79","2021","0","0","2.1","-2.13","2.56","+1.42","4.12","-0.43","91.2","+1.14","0","0"
"424",="3492","長盛","19.3","-0.05","-0.26","2021","0","0","0.54","+0.48","2.53","0","36.4","-0.31","60.6","-0.17","0","0"
"425",="6261","久元","87.1","-1.3","-1.47","2021","0","0","17.6","+5.69","2.53","+0.33","22.2","+0.33","57.6","-6.35","0","0"
"426",="6263","普萊德","68","0","0","2021","0","0","1.93","-0.41","2.53","+0.01","29.1","+0.03","66.4","+0.38","0","0"
"427",="8039","台虹","46.1","-0.05","-0.11","2021","6.56","+3.98","19.9","-2.46","2.53","-2.91","25","+2.7","46","-1.3","0","0"
"428",="1419","新紡","41.55","-0.35","-0.84","2021","0","0","2.3","+0.06","2.52","+0.01","80.2","-0.8","15","+0.72","0","0"
"429",="2881","富邦金","74.8","-1.6","-2.09","2021","18.8","-0.66","25.4","-0.39","2.51","-2.82","28.1","+3.42","25.2","+0.44","0","0"
"430",="4767","誠泰科技","28.85","+0.6","+2.12","2021","0","0","2.8","+0.32","2.51","0","37.8","-2.69","56.9","+2.37","0","0"
"431",="8924","大田","161.5","-1.5","-0.92","2021","0","0","12.9","+5.91","2.48","+0.32","15","+2.8","69.6","-9.03","0","0"
"432",="6605","帝寶","59.3","+0.4","+0.68","2021","0","0","13.3","+1.06","2.48","-0.83","29.8","-0.53","54.3","+0.3","0","0"
"433",="5484","慧友","16.2","+0.2","+1.25","2021","0","0","0.96","+0.47","2.48","0","21.1","+5.21","75.5","-5.69","0","0"
"434",="2353","宏碁","27.65","+0.1","+0.36","2021","0.34","+0.1","42.9","+15.4","2.48","+1.09","4.22","-1.26","50","-14.4","0","-0.88"
"435",="5903","全家","256","+1","+0.39","2021","1.54","-0.34","53.8","+0.33","2.48","+0.06","34.7","-0.05","7.49","0","0","0"
"436",="1762","中化生","62.1","-1","-1.58","2021","0","0","2.92","+0.56","2.45","+2.45","28.1","-0.73","66.5","-2.29","0","0"
"437",="2014","中鴻","32.85","-1.05","-3.1","2021","0","0","9.16","+4.47","2.44","-1.09","45.4","+4.07","43","-7.45","0","0"
